"","Sample_ID","Stiffness_Score","Tumor_Type"
"TCGA-L5-A8NW-01A-11R-A37I-31","TCGA-L5-A8NW-01A-11R-A37I-31",21.6232035087719,"TCGA-ESCA"
"TCGA-VR-A8EP-01A-31R-A406-31","TCGA-VR-A8EP-01A-31R-A406-31",7.00902631578947,"TCGA-ESCA"
"TCGA-L7-A6VZ-01A-12R-A336-31","TCGA-L7-A6VZ-01A-12R-A336-31",7.72991228070175,"TCGA-ESCA"
"TCGA-L5-A893-01A-11R-A36D-31","TCGA-L5-A893-01A-11R-A36D-31",15.0482771929825,"TCGA-ESCA"
"TCGA-ZR-A9CJ-01B-11R-A38D-31","TCGA-ZR-A9CJ-01B-11R-A38D-31",63.2133035087719,"TCGA-ESCA"
"TCGA-CV-7423-01A-11R-2081-07","TCGA-CV-7423-01A-11R-2081-07",24.8311684210526,"TCGA-HNSC"
"TCGA-DQ-7595-01A-11R-2232-07","TCGA-DQ-7595-01A-11R-2232-07",12.9028754385965,"TCGA-HNSC"
"TCGA-CR-7377-01A-11R-2016-07","TCGA-CR-7377-01A-11R-2016-07",47.4859,"TCGA-HNSC"
"TCGA-CR-7371-01A-11R-2016-07","TCGA-CR-7371-01A-11R-2016-07",26.7983526315789,"TCGA-HNSC"
"TCGA-T2-A6X0-01A-11R-A34R-07","TCGA-T2-A6X0-01A-11R-A34R-07",11.7806666666667,"TCGA-HNSC"
"TCGA-WA-A7GZ-01A-11R-A34R-07","TCGA-WA-A7GZ-01A-11R-A34R-07",31.7144368421053,"TCGA-HNSC"
"TCGA-CV-A463-01A-11R-A266-07","TCGA-CV-A463-01A-11R-A266-07",8.04054912280702,"TCGA-HNSC"
"TCGA-D6-6823-01A-11R-1915-07","TCGA-D6-6823-01A-11R-1915-07",17.497049122807,"TCGA-HNSC"
"TCGA-CR-7374-01A-11R-2016-07","TCGA-CR-7374-01A-11R-2016-07",13.0685719298246,"TCGA-HNSC"
"TCGA-D6-A6EN-01A-11R-A31N-07","TCGA-D6-A6EN-01A-11R-A31N-07",6.1016298245614,"TCGA-HNSC"
"TCGA-CV-7415-01A-11R-2081-07","TCGA-CV-7415-01A-11R-2081-07",44.121298245614,"TCGA-HNSC"
"TCGA-BB-A5HU-01A-11R-A28V-07","TCGA-BB-A5HU-01A-11R-A28V-07",65.6417877192983,"TCGA-HNSC"
"TCGA-CV-6937-01A-11R-2016-07","TCGA-CV-6937-01A-11R-2016-07",25.1560824561403,"TCGA-HNSC"
"TCGA-CV-7414-01A-11R-2081-07","TCGA-CV-7414-01A-11R-2081-07",36.7961754385965,"TCGA-HNSC"
"TCGA-CR-7399-01A-11R-2016-07","TCGA-CR-7399-01A-11R-2016-07",16.1813315789474,"TCGA-HNSC"
"TCGA-CV-5441-01A-01R-1514-07","TCGA-CV-5441-01A-01R-1514-07",26.0404228070175,"TCGA-HNSC"
"TCGA-MT-A67A-01A-11R-A30B-07","TCGA-MT-A67A-01A-11R-A30B-07",7.24531578947368,"TCGA-HNSC"
"TCGA-CN-6019-01A-11R-1686-07","TCGA-CN-6019-01A-11R-1686-07",145.791998245614,"TCGA-HNSC"
"TCGA-CQ-7068-01A-11R-2081-07","TCGA-CQ-7068-01A-11R-2081-07",7.56174035087719,"TCGA-HNSC"
"TCGA-CV-7410-01A-21R-2081-07","TCGA-CV-7410-01A-21R-2081-07",34.5413578947368,"TCGA-HNSC"
"TCGA-CQ-5323-01A-01R-1686-07","TCGA-CQ-5323-01A-01R-1686-07",13.0502947368421,"TCGA-HNSC"
"TCGA-DQ-7593-01A-11R-2232-07","TCGA-DQ-7593-01A-11R-2232-07",7.91282105263158,"TCGA-HNSC"
"TCGA-BB-4225-01A-01R-1436-07","TCGA-BB-4225-01A-01R-1436-07",9.51768421052632,"TCGA-HNSC"
"TCGA-CN-6021-01A-11R-1686-07","TCGA-CN-6021-01A-11R-1686-07",12.6910543859649,"TCGA-HNSC"
"TCGA-CN-6023-01A-11R-1686-07","TCGA-CN-6023-01A-11R-1686-07",8.61251578947368,"TCGA-HNSC"
"TCGA-CN-6022-01A-21R-1686-07","TCGA-CN-6022-01A-21R-1686-07",50.4677666666667,"TCGA-HNSC"
"TCGA-CV-7089-01A-11R-2016-07","TCGA-CV-7089-01A-11R-2016-07",9.46268421052632,"TCGA-HNSC"
"TCGA-F7-A620-01A-11R-A28V-07","TCGA-F7-A620-01A-11R-A28V-07",13.4671105263158,"TCGA-HNSC"
"TCGA-BB-7862-01A-21R-2232-07","TCGA-BB-7862-01A-21R-2232-07",43.9557035087719,"TCGA-HNSC"
"TCGA-CN-4741-01A-01R-1436-07","TCGA-CN-4741-01A-01R-1436-07",16.3489298245614,"TCGA-HNSC"
"TCGA-CV-7255-01A-11R-2016-07","TCGA-CV-7255-01A-11R-2016-07",23.0035789473684,"TCGA-HNSC"
"TCGA-CX-7082-01A-11R-2016-07","TCGA-CX-7082-01A-11R-2016-07",21.3686140350877,"TCGA-HNSC"
"TCGA-CN-6997-01A-11R-2016-07","TCGA-CN-6997-01A-11R-2016-07",20.9066666666667,"TCGA-HNSC"
"TCGA-P3-A6SX-01A-11R-A34R-07","TCGA-P3-A6SX-01A-11R-A34R-07",24.8050771929825,"TCGA-HNSC"
"TCGA-DQ-5629-01A-01R-1873-07","TCGA-DQ-5629-01A-01R-1873-07",21.7799315789474,"TCGA-HNSC"
"TCGA-UF-A7JH-01A-21R-A34R-07","TCGA-UF-A7JH-01A-21R-A34R-07",49.5347087719298,"TCGA-HNSC"
"TCGA-CR-7368-01A-11R-2132-07","TCGA-CR-7368-01A-11R-2132-07",16.3849035087719,"TCGA-HNSC"
"TCGA-BA-A6D8-01A-31R-A31N-07","TCGA-BA-A6D8-01A-31R-A31N-07",17.4437070175439,"TCGA-HNSC"
"TCGA-CN-5356-01A-01R-1436-07","TCGA-CN-5356-01A-01R-1436-07",36.1432789473684,"TCGA-HNSC"
"TCGA-CV-7427-01A-11R-2081-07","TCGA-CV-7427-01A-11R-2081-07",7.84560175438596,"TCGA-HNSC"
"TCGA-CV-7261-01A-11R-2016-07","TCGA-CV-7261-01A-11R-2016-07",34.5545245614035,"TCGA-HNSC"
"TCGA-D6-A6EK-01A-11R-A31N-07","TCGA-D6-A6EK-01A-11R-A31N-07",7.4424298245614,"TCGA-HNSC"
"TCGA-CV-A45O-01A-21R-A24H-07","TCGA-CV-A45O-01A-21R-A24H-07",7.3285350877193,"TCGA-HNSC"
"TCGA-CQ-7063-01A-11R-2403-07","TCGA-CQ-7063-01A-11R-2403-07",10.4662105263158,"TCGA-HNSC"
"TCGA-CQ-A4CH-01A-11R-A266-07","TCGA-CQ-A4CH-01A-11R-A266-07",19.1351,"TCGA-HNSC"
"TCGA-D6-A6EO-01A-11R-A31N-07","TCGA-D6-A6EO-01A-11R-A31N-07",8.82348070175439,"TCGA-HNSC"
"TCGA-TN-A7HJ-01A-12R-A34R-07","TCGA-TN-A7HJ-01A-12R-A34R-07",9.53537192982456,"TCGA-HNSC"
"TCGA-F7-A622-01A-11R-A28V-07","TCGA-F7-A622-01A-11R-A28V-07",7.68797543859649,"TCGA-HNSC"
"TCGA-BB-7871-01A-11R-2232-07","TCGA-BB-7871-01A-11R-2232-07",39.2073192982456,"TCGA-HNSC"
"TCGA-F7-8298-01A-11R-2403-07","TCGA-F7-8298-01A-11R-2403-07",33.9206157894737,"TCGA-HNSC"
"TCGA-UF-A7JA-01A-12R-A34R-07","TCGA-UF-A7JA-01A-12R-A34R-07",46.4318473684211,"TCGA-HNSC"
"TCGA-CV-6936-01A-11R-1915-07","TCGA-CV-6936-01A-11R-1915-07",17.2500631578947,"TCGA-HNSC"
"TCGA-CN-4733-01A-02R-1873-07","TCGA-CN-4733-01A-02R-1873-07",56.8255807017544,"TCGA-HNSC"
"TCGA-CV-7245-01A-11R-2016-07","TCGA-CV-7245-01A-11R-2016-07",38.0711929824561,"TCGA-HNSC"
"TCGA-BA-6868-01B-12R-1915-07","TCGA-BA-6868-01B-12R-1915-07",32.9114087719298,"TCGA-HNSC"
"TCGA-CN-5355-01A-01R-1436-07","TCGA-CN-5355-01A-01R-1436-07",59.3443333333333,"TCGA-HNSC"
"TCGA-UF-A71B-01A-12R-A34R-07","TCGA-UF-A71B-01A-12R-A34R-07",27.9395719298246,"TCGA-HNSC"
"TCGA-MZ-A5BI-01A-31R-A34R-07","TCGA-MZ-A5BI-01A-31R-A34R-07",10.1928157894737,"TCGA-HNSC"
"TCGA-CV-A45U-01A-12R-A24H-07","TCGA-CV-A45U-01A-12R-A24H-07",12.8561614035088,"TCGA-HNSC"
"TCGA-CQ-6229-01A-11R-1915-07","TCGA-CQ-6229-01A-11R-1915-07",17.8458912280702,"TCGA-HNSC"
"TCGA-CV-A45Q-01A-11R-A24H-07","TCGA-CV-A45Q-01A-11R-A24H-07",7.13841228070175,"TCGA-HNSC"
"TCGA-D6-A6EQ-01A-11R-A31N-07","TCGA-D6-A6EQ-01A-11R-A31N-07",31.5442526315789,"TCGA-HNSC"
"TCGA-CV-7099-01A-41R-2016-07","TCGA-CV-7099-01A-41R-2016-07",7.8327,"TCGA-HNSC"
"TCGA-CV-5966-01A-11R-1686-07","TCGA-CV-5966-01A-11R-1686-07",16.613801754386,"TCGA-HNSC"
"TCGA-CR-6492-01A-12R-2081-07","TCGA-CR-6492-01A-12R-2081-07",13.9184175438596,"TCGA-HNSC"
"TCGA-BA-7269-01A-11R-2016-07","TCGA-BA-7269-01A-11R-2016-07",32.9181771929825,"TCGA-HNSC"
"TCGA-P3-A5Q6-01A-11R-A28V-07","TCGA-P3-A5Q6-01A-11R-A28V-07",58.5302210526316,"TCGA-HNSC"
"TCGA-CV-6951-01A-11R-1915-07","TCGA-CV-6951-01A-11R-1915-07",15.3501684210526,"TCGA-HNSC"
"TCGA-T3-A92N-01A-11R-A39I-07","TCGA-T3-A92N-01A-11R-A39I-07",11.5579070175439,"TCGA-HNSC"
"TCGA-BA-A4II-01A-11R-A266-07","TCGA-BA-A4II-01A-11R-A266-07",19.8475789473684,"TCGA-HNSC"
"TCGA-CQ-5327-01A-01R-1686-07","TCGA-CQ-5327-01A-01R-1686-07",9.89638771929825,"TCGA-HNSC"
"TCGA-UF-A7JD-01A-11R-A34R-07","TCGA-UF-A7JD-01A-11R-A34R-07",79.3545070175439,"TCGA-HNSC"
"TCGA-CN-4729-01A-01R-1436-07","TCGA-CN-4729-01A-01R-1436-07",33.7242473684211,"TCGA-HNSC"
"TCGA-CV-7253-01A-11R-2016-07","TCGA-CV-7253-01A-11R-2016-07",13.613350877193,"TCGA-HNSC"
"TCGA-F7-A50J-01A-21R-A28V-07","TCGA-F7-A50J-01A-21R-A28V-07",17.3392105263158,"TCGA-HNSC"
"TCGA-CN-4739-01A-02R-1514-07","TCGA-CN-4739-01A-02R-1514-07",12.2152614035088,"TCGA-HNSC"
"TCGA-D6-8569-01A-11R-2403-07","TCGA-D6-8569-01A-11R-2403-07",23.2126859649123,"TCGA-HNSC"
"TCGA-H7-8502-01A-11R-2403-07","TCGA-H7-8502-01A-11R-2403-07",28.6727859649123,"TCGA-HNSC"
"TCGA-CN-A49A-01A-11R-A24H-07","TCGA-CN-A49A-01A-11R-A24H-07",37.3498403508772,"TCGA-HNSC"
"TCGA-CR-5250-01A-01R-1514-07","TCGA-CR-5250-01A-01R-1514-07",18.9026543859649,"TCGA-HNSC"
"TCGA-CV-6948-01A-11R-1915-07","TCGA-CV-6948-01A-11R-1915-07",9.38645263157895,"TCGA-HNSC"
"TCGA-BB-7864-01A-11R-2232-07","TCGA-BB-7864-01A-11R-2232-07",13.7616228070175,"TCGA-HNSC"
"TCGA-BA-4078-01A-01R-1436-07","TCGA-BA-4078-01A-01R-1436-07",67.1847736842105,"TCGA-HNSC"
"TCGA-CV-6950-01A-11R-1915-07","TCGA-CV-6950-01A-11R-1915-07",25.1196438596491,"TCGA-HNSC"
"TCGA-CN-A6V3-01A-12R-A34R-07","TCGA-CN-A6V3-01A-12R-A34R-07",10.6152526315789,"TCGA-HNSC"
"TCGA-DQ-7590-01A-11R-2232-07","TCGA-DQ-7590-01A-11R-2232-07",23.4526964912281,"TCGA-HNSC"
"TCGA-CV-7180-01A-11R-2016-07","TCGA-CV-7180-01A-11R-2016-07",7.73878771929825,"TCGA-HNSC"
"TCGA-CN-5373-01A-01R-1436-07","TCGA-CN-5373-01A-01R-1436-07",54.6335210526316,"TCGA-HNSC"
"TCGA-P3-A6T4-01A-11R-A34R-07","TCGA-P3-A6T4-01A-11R-A34R-07",12.8283894736842,"TCGA-HNSC"
"TCGA-BA-A6DE-01A-22R-A31N-07","TCGA-BA-A6DE-01A-22R-A31N-07",14.6977280701754,"TCGA-HNSC"
"TCGA-BA-A6DA-01A-31R-A31N-07","TCGA-BA-A6DA-01A-31R-A31N-07",8.89119122807018,"TCGA-HNSC"
"TCGA-CR-7392-01A-11R-2016-07","TCGA-CR-7392-01A-11R-2016-07",64.2936701754386,"TCGA-HNSC"
"TCGA-DQ-5631-01A-01R-1873-07","TCGA-DQ-5631-01A-01R-1873-07",39.7452473684211,"TCGA-HNSC"
"TCGA-CR-6484-01A-11R-1873-07","TCGA-CR-6484-01A-11R-1873-07",51.363650877193,"TCGA-HNSC"
"TCGA-CQ-6219-01A-11R-1915-07","TCGA-CQ-6219-01A-11R-1915-07",32.1184122807018,"TCGA-HNSC"
"TCGA-BA-5555-01A-01R-1514-07","TCGA-BA-5555-01A-01R-1514-07",11.6367210526316,"TCGA-HNSC"
"TCGA-HD-8314-01A-11R-2403-07","TCGA-HD-8314-01A-11R-2403-07",12.926898245614,"TCGA-HNSC"
"TCGA-RS-A6TP-01A-12R-A34R-07","TCGA-RS-A6TP-01A-12R-A34R-07",6.24141754385965,"TCGA-HNSC"
"TCGA-CV-7101-01A-11R-2016-07","TCGA-CV-7101-01A-11R-2016-07",16.4943403508772,"TCGA-HNSC"
"TCGA-CV-A45Y-01A-11R-A24Z-07","TCGA-CV-A45Y-01A-11R-A24Z-07",87.6060456140351,"TCGA-HNSC"
"TCGA-BA-A6DG-01A-21R-A30B-07","TCGA-BA-A6DG-01A-21R-A30B-07",89.336801754386,"TCGA-HNSC"
"TCGA-CR-7370-01A-11R-2132-07","TCGA-CR-7370-01A-11R-2132-07",21.450501754386,"TCGA-HNSC"
"TCGA-MZ-A6I9-01A-11R-A31N-07","TCGA-MZ-A6I9-01A-11R-A31N-07",6.73454385964912,"TCGA-HNSC"
"TCGA-P3-A6SW-01A-11R-A34R-07","TCGA-P3-A6SW-01A-11R-A34R-07",14.4977263157895,"TCGA-HNSC"
"TCGA-CV-7103-01A-21R-2016-07","TCGA-CV-7103-01A-21R-2016-07",100.344250877193,"TCGA-HNSC"
"TCGA-CV-7433-01A-11R-2132-07","TCGA-CV-7433-01A-11R-2132-07",97.4236298245614,"TCGA-HNSC"
"TCGA-CN-6989-01A-11R-1915-07","TCGA-CN-6989-01A-11R-1915-07",85.0879789473684,"TCGA-HNSC"
"TCGA-F7-A61V-01A-11R-A28V-07","TCGA-F7-A61V-01A-11R-A28V-07",9.03109298245614,"TCGA-HNSC"
"TCGA-UF-A719-01A-12R-A34R-07","TCGA-UF-A719-01A-12R-A34R-07",10.8776666666667,"TCGA-HNSC"
"TCGA-CR-6488-01A-12R-2081-07","TCGA-CR-6488-01A-12R-2081-07",35.0150754385965,"TCGA-HNSC"
"TCGA-CR-7386-01A-11R-2016-07","TCGA-CR-7386-01A-11R-2016-07",158.193226315789,"TCGA-HNSC"
"TCGA-CV-7407-01A-11R-2081-07","TCGA-CV-7407-01A-11R-2081-07",9.79297192982456,"TCGA-HNSC"
"TCGA-CV-7250-01A-11R-2016-07","TCGA-CV-7250-01A-11R-2016-07",7.20372280701754,"TCGA-HNSC"
"TCGA-CN-A49C-01A-11R-A24H-07","TCGA-CN-A49C-01A-11R-A24H-07",10.6492105263158,"TCGA-HNSC"
"TCGA-CV-A6JT-01A-11R-A31N-07","TCGA-CV-A6JT-01A-11R-A31N-07",61.271398245614,"TCGA-HNSC"
"TCGA-CV-7238-01A-11R-2016-07","TCGA-CV-7238-01A-11R-2016-07",22.0950578947368,"TCGA-HNSC"
"TCGA-D6-A4ZB-01A-11R-A24Z-07","TCGA-D6-A4ZB-01A-11R-A24Z-07",16.6473894736842,"TCGA-HNSC"
"TCGA-MZ-A7D7-01A-21R-A34R-07","TCGA-MZ-A7D7-01A-21R-A34R-07",11.9593070175439,"TCGA-HNSC"
"TCGA-WA-A7H4-01A-21R-A34R-07","TCGA-WA-A7H4-01A-21R-A34R-07",46.1372140350877,"TCGA-HNSC"
"TCGA-CN-4728-01A-01R-1436-07","TCGA-CN-4728-01A-01R-1436-07",130.656929824561,"TCGA-HNSC"
"TCGA-HD-A4C1-01A-11R-A24H-07","TCGA-HD-A4C1-01A-11R-A24H-07",21.669998245614,"TCGA-HNSC"
"TCGA-CR-7364-01A-11R-2016-07","TCGA-CR-7364-01A-11R-2016-07",16.5391631578947,"TCGA-HNSC"
"TCGA-UF-A71D-01A-12R-A34R-07","TCGA-UF-A71D-01A-12R-A34R-07",6.5224,"TCGA-HNSC"
"TCGA-CR-7393-01A-11R-2016-07","TCGA-CR-7393-01A-11R-2016-07",37.4827736842105,"TCGA-HNSC"
"TCGA-CV-5436-01A-01R-1514-07","TCGA-CV-5436-01A-01R-1514-07",27.4203929824561,"TCGA-HNSC"
"TCGA-BB-7863-01A-11R-2232-07","TCGA-BB-7863-01A-11R-2232-07",9.95971052631579,"TCGA-HNSC"
"TCGA-UF-A7JO-01A-11R-A34R-07","TCGA-UF-A7JO-01A-11R-A34R-07",16.3789701754386,"TCGA-HNSC"
"TCGA-CV-7243-01A-11R-2016-07","TCGA-CV-7243-01A-11R-2016-07",56.9546245614035,"TCGA-HNSC"
"TCGA-CV-6935-01A-11R-1915-07","TCGA-CV-6935-01A-11R-1915-07",41.4620736842105,"TCGA-HNSC"
"TCGA-P3-A5QE-01A-11R-A28V-07","TCGA-P3-A5QE-01A-11R-A28V-07",8.54677543859649,"TCGA-HNSC"
"TCGA-BA-5558-01A-01R-1514-07","TCGA-BA-5558-01A-01R-1514-07",15.7662596491228,"TCGA-HNSC"
"TCGA-BA-6869-01A-11R-1873-07","TCGA-BA-6869-01A-11R-1873-07",8.70989122807018,"TCGA-HNSC"
"TCGA-CV-7254-01A-11R-2016-07","TCGA-CV-7254-01A-11R-2016-07",56.4767666666667,"TCGA-HNSC"
"TCGA-IQ-A6SG-01A-12R-A34R-07","TCGA-IQ-A6SG-01A-12R-A34R-07",12.7460473684211,"TCGA-HNSC"
"TCGA-C9-A47Z-01A-11R-A24H-07","TCGA-C9-A47Z-01A-11R-A24H-07",12.2954385964912,"TCGA-HNSC"
"TCGA-D6-6825-01A-21R-1915-07","TCGA-D6-6825-01A-21R-1915-07",24.3090385964912,"TCGA-HNSC"
"TCGA-CR-5247-01A-01R-2016-07","TCGA-CR-5247-01A-01R-2016-07",106.285175438596,"TCGA-HNSC"
"TCGA-CN-6016-01A-11R-1686-07","TCGA-CN-6016-01A-11R-1686-07",183.935729824561,"TCGA-HNSC"
"TCGA-CQ-5332-01A-01R-1686-07","TCGA-CQ-5332-01A-01R-1686-07",33.5348052631579,"TCGA-HNSC"
"TCGA-BB-7861-01A-11R-2232-07","TCGA-BB-7861-01A-11R-2232-07",8.75538596491228,"TCGA-HNSC"
"TCGA-BA-5556-01A-01R-1514-07","TCGA-BA-5556-01A-01R-1514-07",14.4722614035088,"TCGA-HNSC"
"TCGA-P3-A6T6-01A-11R-A34R-07","TCGA-P3-A6T6-01A-11R-A34R-07",4.74234736842105,"TCGA-HNSC"
"TCGA-CR-7401-01A-11R-2016-07","TCGA-CR-7401-01A-11R-2016-07",83.0685315789474,"TCGA-HNSC"
"TCGA-BB-7870-01A-11R-2232-07","TCGA-BB-7870-01A-11R-2232-07",6.3006350877193,"TCGA-HNSC"
"TCGA-BA-A6DB-01A-11R-A30B-07","TCGA-BA-A6DB-01A-11R-A30B-07",21.3610964912281,"TCGA-HNSC"
"TCGA-CR-7388-01A-11R-2016-07","TCGA-CR-7388-01A-11R-2016-07",28.5717771929825,"TCGA-HNSC"
"TCGA-CV-5977-01A-11R-1686-07","TCGA-CV-5977-01A-11R-1686-07",15.0455263157895,"TCGA-HNSC"
"TCGA-CQ-7071-01A-12R-A30B-07","TCGA-CQ-7071-01A-12R-A30B-07",28.6286245614035,"TCGA-HNSC"
"TCGA-D6-6824-01A-11R-1915-07","TCGA-D6-6824-01A-11R-1915-07",36.3046754385965,"TCGA-HNSC"
"TCGA-IQ-A6SH-01A-12R-A34R-07","TCGA-IQ-A6SH-01A-12R-A34R-07",14.1076403508772,"TCGA-HNSC"
"TCGA-BA-5152-01A-02R-1873-07","TCGA-BA-5152-01A-02R-1873-07",40.2637105263158,"TCGA-HNSC"
"TCGA-CQ-5329-01A-01R-1686-07","TCGA-CQ-5329-01A-01R-1686-07",28.9004649122807,"TCGA-HNSC"
"TCGA-BB-A5HY-01A-11R-A28V-07","TCGA-BB-A5HY-01A-11R-A28V-07",19.152350877193,"TCGA-HNSC"
"TCGA-CN-6998-01A-23R-2016-07","TCGA-CN-6998-01A-23R-2016-07",9.47682105263158,"TCGA-HNSC"
"TCGA-CN-A6V1-01A-12R-A34R-07","TCGA-CN-A6V1-01A-12R-A34R-07",5.71600877192982,"TCGA-HNSC"
"TCGA-BB-A6UM-01A-12R-A34R-07","TCGA-BB-A6UM-01A-12R-A34R-07",5.78539122807018,"TCGA-HNSC"
"TCGA-CN-5361-01A-01R-1436-07","TCGA-CN-5361-01A-01R-1436-07",74.9735771929825,"TCGA-HNSC"
"TCGA-CV-7090-01A-11R-2016-07","TCGA-CV-7090-01A-11R-2016-07",51.8088929824561,"TCGA-HNSC"
"TCGA-CQ-7069-01A-11R-2403-07","TCGA-CQ-7069-01A-11R-2403-07",33.4076719298246,"TCGA-HNSC"
"TCGA-CV-A6JY-01A-11R-A31N-07","TCGA-CV-A6JY-01A-11R-A31N-07",5.8127350877193,"TCGA-HNSC"
"TCGA-CQ-5333-01A-01R-2403-07","TCGA-CQ-5333-01A-01R-2403-07",12.9609561403509,"TCGA-HNSC"
"TCGA-CV-7438-01A-21R-2132-07","TCGA-CV-7438-01A-21R-2132-07",27.0537596491228,"TCGA-HNSC"
"TCGA-CV-A6JM-01A-11R-A31N-07","TCGA-CV-A6JM-01A-11R-A31N-07",10.281650877193,"TCGA-HNSC"
"TCGA-BA-A6DJ-01A-11R-A30B-07","TCGA-BA-A6DJ-01A-11R-A30B-07",21.2177631578947,"TCGA-HNSC"
"TCGA-DQ-7596-01A-11R-2232-07","TCGA-DQ-7596-01A-11R-2232-07",4.22139298245614,"TCGA-HNSC"
"TCGA-HD-7831-01A-11R-2132-07","TCGA-HD-7831-01A-11R-2132-07",248.690222807018,"TCGA-HNSC"
"TCGA-CN-4736-01A-01R-1436-07","TCGA-CN-4736-01A-01R-1436-07",35.3189859649123,"TCGA-HNSC"
"TCGA-CV-A6JN-01A-11R-A31N-07","TCGA-CV-A6JN-01A-11R-A31N-07",8.64913333333333,"TCGA-HNSC"
"TCGA-CV-5440-01A-01R-1514-07","TCGA-CV-5440-01A-01R-1514-07",12.9494824561404,"TCGA-HNSC"
"TCGA-HD-7754-01A-11R-2081-07","TCGA-HD-7754-01A-11R-2081-07",58.4758315789474,"TCGA-HNSC"
"TCGA-UF-A71E-01A-31R-A34R-07","TCGA-UF-A71E-01A-31R-A34R-07",23.7161596491228,"TCGA-HNSC"
"TCGA-MT-A67D-01A-31R-A30B-07","TCGA-MT-A67D-01A-31R-A30B-07",24.3117315789474,"TCGA-HNSC"
"TCGA-UF-A7JV-01A-11R-A34R-07","TCGA-UF-A7JV-01A-11R-A34R-07",27.1980140350877,"TCGA-HNSC"
"TCGA-UF-A7JT-01A-11R-A34R-07","TCGA-UF-A7JT-01A-11R-A34R-07",21.7718789473684,"TCGA-HNSC"
"TCGA-P3-A6T3-01A-11R-A34R-07","TCGA-P3-A6T3-01A-11R-A34R-07",18.0479263157895,"TCGA-HNSC"
